post_id,shortcode,url,type,product_type,timestamp,age_days,caption_length,likes_count,comments_count,views_count,plays_count,video_duration_s,engagement_rate_pct,likes_per_day,comments_per_day,views_per_day,comment_to_like_ratio,content_topic_cluster,has_clear_cta,cta_type,funnel_stage,offer_alignment,is_pinned,caption
3860769846959356283,DWUNbh3jTl7AG5TgcZF3Cbt07Z5EU49pRI0hYg0,https://www.instagram.com/p/DWUNbh3jTl7AG5TgcZF3Cbt07Z5EU49pRI0hYg0/,carousel,,2026-03-25T17:27:32.000Z,32.1,65,241,24,,,,0.907,7.52,0.749,,0.1,lifestyle_personal,false,,awareness,none,false,Proud of you both today!! Smashed it and so amazing to watch 🤩🫡
3872054800917910547,DW8TVOPjtQT,https://www.instagram.com/p/DW8TVOPjtQT/,image,,2026-04-10T07:12:40.000Z,16.5,192,359,20,,,,1.298,21.77,1.213,,0.056,training_strength,false,,awareness,online,false,"The reason I exist, the strength behind everything I am.   Make sure you love and take care of your mother no matter what the purest form of love you will ever see in life😍🤗 -  Love you Mama"
3860761815915719857,DWULmqYDGyx,https://www.instagram.com/p/DWULmqYDGyx/,carousel,,2026-03-25T17:11:34.000Z,32.1,1077,321,76,,,,1.359,10.01,2.37,,0.237,training_strength,false,,awareness,online,false,1:09:35. LONDON - OLYMPIA   Lungs burning. Legs gone. Still moving. Representing INDIA 🇮🇳 GHANA 🇬🇭 — two lions in London who refused to slow down. Last year we gave everything and crossed at 1:14. This year we came back and took 5 minutes off that. But I need to tell you something about the night before. I didn’t sleep much. I dreamed the race. Every station. Every run. Every moment I had mastered it — performed it to its finest. So when it got real — when the Burpees got us out of breath and the LUNGS were TESTED and our QUADS were giving up — I’d already been there. I’d already come through it. That’s not magic. That’s work before the work. Most people only prepare the body. The ones who win — they’ve already finished the race in their mind a hundred times before race day. You want to know what separates people? Not talent. Not time. Not money. It’s whether you decide — truly decide — what kind of machine you want to be. Fiat or Ferrari. We know what we are. 🦁🔥 #Hyrox #London #RaisingLions #NeverGiveUp Visualize TrainToPerform LondonFitness IndiaInLonon
3858493170837398463,DWMHxiACKO_,https://www.instagram.com/p/DWMHxiACKO_/,image,,2026-03-22T14:15:01.000Z,35.2,666,94,6,,,,0.342,2.67,0.17,,0.064,mindset_motivation,false,,awareness,content,false,The moment it becomes a chore  you’ve lost them. I don’t force my son into anything. I make it something he wants to run towards. We race. We laugh. We mess around. And somewhere in all that fun  he’s building discipline without even realising it. That’s the secret. You don’t drill greatness into your kids. You make it so enjoyable they choose it themselves. Rain or shine we show up. But we always show up with a smile. The lessons that stick aren’t the ones forced on them. They’re the ones they enjoyed living. Shape them just enough. Keep it fun. Keep it real. That’s how I’m raising my lion. 🦁 #RaisingLions #FatherAndSon #LegacyOverEverything #leadbyexample
3868577233695451340,DWv8n9YlKjM,https://www.instagram.com/p/DWv8n9YlKjM/,carousel,,2026-04-05T11:59:25.000Z,21.3,73,222,12,,,,0.801,10.43,0.564,,0.054,lifestyle_personal,false,,awareness,none,false,Recently Hired a Very Skilled Photographer ! 😜👌  Rate the Skillz 😂🤣😂
3883828295754371070,DXmIUHxDM_-,https://www.instagram.com/p/DXmIUHxDM_-/,image,,2026-04-26T13:00:33.000Z,1,145,125,7,,,,0.452,125,7,,0.056,lifestyle_personal,false,,awareness,none,false,Happy Birthday to you 🤩  I Don’t Love you …  With my heart or mind   The Heart can stop and the Mind can forget   I love you with my Soul 😍🤪🥳
3863610562882345800,DWeTVYvDJtI,https://www.instagram.com/p/DWeTVYvDJtI/,carousel,,2026-03-29T15:31:32.000Z,28.1,176,311,40,,,,1.202,11.05,1.421,,0.129,hyrox_hybrid,false,,awareness,online,false,You don’t have to be a runner to do HYROX. You have to be tough. You have to be fit. You have to be able to suffer and keep moving. Teamwork. Effort. No excuses. We smashed it.
3861526930718660754,DWW5kjEFxiS,https://www.instagram.com/p/DWW5kjEFxiS/,carousel,,2026-03-26T18:31:43.000Z,31,213,434,42,,,,1.63,13.99,1.354,,0.097,hyrox_hybrid,false,,awareness,online,false,Showing you some action from our second @hyroxuk at London Olympia!  Enjoy watching us take 5 mins off our time from our first HYROX in London Excel   🇬🇭 x 🇮🇳 = 📈  #hyrox #hybrid #lifetsyle #fitness #hardwork
3853581755987312135,DV6rDCejL4H,https://www.instagram.com/p/DV6rDCejL4H/,carousel,,2026-03-15T19:26:05.000Z,42,927,243,15,,,,0.883,5.79,0.357,,0.062,hyrox_hybrid,false,,awareness,online,false,"Happy Mother’s Day   Behind every picture is a thousand feelings. Adonis crying. Us laughing. A whole world in a few frames. Watching my son love his mum the way he does — it does something to you. It mirrors something I’ve felt my whole life but never fully understood until now. My love for my own mother has grown every single year. The older I get, the more I realise  we are literally a part of them. We came from them. And somewhere in the rush of life, we forget how sacred that is. There is no love like a mother’s love. Nothing even close. And to my wife  thank you for being more than comfort. Thank you for pushing me. For making me uncomfortable. For refusing to let me stay small. You don’t just hold this family together  you make us all better. Happy Mother’s Day to every woman who gives everything, asks for nothing, and loves without limit. 🤍 #MothersDay #Family #RaisingLions #Gratitude #HerLoveIsEverything"
3346595815055429597,C5xfymrMA_d,https://www.instagram.com/p/C5xfymrMA_d/,reel,clips,2024-04-15T14:20:59.000Z,741.2,517,263,36,2289,9634,181,1.024,0.35,0.049,3.09,0.137,mindset_motivation,false,,awareness,content,true,"Discovering your “why” is the compass that guides you through life’s journey. It’s the reason behind every choice you make, every goal you pursue, and every dream you chase. Take a moment to reflect on what truly ignites your passion and purpose. Embrace your “why” with clarity and conviction, and watch as it empowers you to achieve greatness. #FindYourWhy #PurposeDriven #PassionInProgress 🌟✨  We all go through Pain in life .. it what we chose to do with it !! Turn it into a Positive or just Choose to Suffer 😎"
